INSERT into STUDENT values ('Student3', 2.09, 5, 'PES1UG19CS499', 'CSE', 'Student3@rediffmail.com', 7353492140, 0);
INSERT into STUDENT values ('Student4', 3.06, 5, 'PES1UG19CV122', 'CV', 'Student4@outlook.com', 7100797278, 0);
INSERT into STUDENT values ('Student5', 5.56, 3, 'PES1UG20CV339', 'CV', 'Student5@outlook.com', 8135934469, 0);
INSERT into STUDENT values ('Student6', 1.42, 7, 'PES1UG18EC657', 'ECE', 'Student6@rediffmail.com', 8654693316, 0);
INSERT into STUDENT values ('Student7', 4.95, 7, 'PES1UG18ME287', 'ME', 'Student7@outlook.com', 9018133282, 0);
INSERT into STUDENT values ('Student10', 8.02, 1, 'PES2UG21CS337', 'CSE', 'Student10@yahoo.com', 8562261203, 0);
INSERT into STUDENT values ('Student12', 5.64, 5, 'PES2UG19EE225', 'EEE', 'Student12@yahoo.com', 6433050930, 0);
INSERT into STUDENT values ('Student14', 3.81, 3, 'PES1UG20EC677', 'ECE', 'Student14@gmail.com', 7449971460, 0);
INSERT into STUDENT values ('Student15', 4.91, 1, 'PES2UG21EC431', 'ECE', 'Student15@hotmail.com', 8902766336, 0);
INSERT into STUDENT values ('Student16', 10.3, 7, 'PES1UG18ME099', 'ME', 'Student16@gmail.com', 8905195871, 0);
INSERT into STUDENT values ('Student17', 10.81, 5, 'PES1UG19EE350', 'EEE', 'Student17@rediffmail.com', 8000714255, 0);
INSERT into STUDENT values ('Student18', 4.99, 3, 'PES1UG20BT109', 'BT', 'Student18@yahoo.com', 6143613655, 0);
INSERT into STUDENT values ('Student21', 4.63, 7, 'PES2UG18EC012', 'ECE', 'Student21@rediffmail.com', 6017348299, 0);
INSERT into STUDENT values ('Student23', 10.11, 1, 'PES1UG21BT328', 'BT', 'Student23@rediffmail.com', 7769385242, 0);
INSERT into STUDENT values ('Student26', 7.8, 1, 'PES2UG21ME294', 'ME', 'Student26@outlook.com', 9136280034, 0);
INSERT into STUDENT values ('Student33', 3.4, 3, 'PES1UG20CV454', 'CV', 'Student33@yahoo.com', 7281123183, 0);
INSERT into STUDENT values ('Student34', 9.64, 1, 'PES2UG21EC339', 'ECE', 'Student34@yahoo.com', 9983982615, 0);
INSERT into STUDENT values ('Student35', 6.37, 3, 'PES1UG20ME449', 'ME', 'Student35@hotmail.com', 8410217633, 0);
INSERT into STUDENT values ('Student36', 9.05, 3, 'PES2UG20EC499', 'ECE', 'Student36@rediffmail.com', 6771697455, 0);
