INSERT into STUDENT values ('Student0', 7.82, 1, NULL, 'EEE', 'Student0@outlook.com', 9161577466, 1);

INSERT into STUDENT values ('Student1', 4.97, 1, NULL, 'BT', 'Student1@hotmail.com', 7514972056, 1);

INSERT into STUDENT values ('Student2', 9.7, 5, NULL, 'EEE', 'Student2@outlook.com', 8874721924, 1);

INSERT into STUDENT values ('Student8', 2.45, 3, NULL, 'CV', 'Student8@outlook.com', 6827708586, 1);

INSERT into STUDENT values ('Student9', 4.73, 5, NULL, 'EEE', 'Student9@yahoo.com', 9423246177, 1);

INSERT into STUDENT values ('Student11', 2.29, 7, NULL, 'CV', 'Student11@rediffmail.com', 9795267615, 1);

INSERT into STUDENT values ('Student13', 9.9, 7, NULL, 'EEE', 'Student13@rediffmail.com', 6801003325, 1);

INSERT into STUDENT values ('Student19', 6.33, 3, NULL, 'CSE', 'Student19@hotmail.com', 8591747841, 1);

INSERT into STUDENT values ('Student20', 5.78, 7, NULL, 'CSE', 'Student20@hotmail.com', 6559367495, 1);

INSERT into STUDENT values ('Student22', 7.02, 5, NULL, 'CV', 'Student22@outlook.com', 9091716303, 1);

INSERT into STUDENT values ('Student24', 10.53, 7, NULL, 'BT', 'Student24@gmail.com', 8934423521, 1);

INSERT into STUDENT values ('Student25', 9.34, 3, NULL, 'CSE', 'Student25@rediffmail.com', 9644323591, 1);

INSERT into STUDENT values ('Student27', 2.93, 3, NULL, 'ME', 'Student27@outlook.com', 9532307641, 1);

INSERT into STUDENT values ('Student28', 6.38, 3, NULL, 'ECE', 'Student28@outlook.com', 6575543307, 1);

INSERT into STUDENT values ('Student29', 5.34, 5, NULL, 'ME', 'Student29@outlook.com', 6745019758, 1);

INSERT into STUDENT values ('Student30', 1.82, 1, NULL, 'ME', 'Student30@gmail.com', 9522644050, 1);

INSERT into STUDENT values ('Student31', 8.04, 5, NULL, 'CV', 'Student31@rediffmail.com', 6254710894, 1);

INSERT into STUDENT values ('Student32', 5.39, 1, NULL, 'CSE', 'Student32@gmail.com', 6976233439, 1);

INSERT into STUDENT values ('Student38', 3.75, 1, NULL, 'ME', 'Student38@gmail.com', 6167157978, 1);

INSERT into STUDENT values ('Student40', 6.02, 1, NULL, 'CV', 'Student40@yahoo.com', 9896151182, 1);

INSERT into STUDENT values ('Student41', 6.28, 3, NULL, 'CSE', 'Student41@rediffmail.com', 9247234132, 1);

