INSERT into STUDENT values ('Student0', 6.93, 7, 'PES2UG18ME033', 'ME', 'Student0@gmail.com', 7511019992, 0);
INSERT into STUDENT values ('Student1', 9.94, 1, 'PES1UG21EC088', 'ECE', 'Student1@yahoo.com', 6217008681, 0);
INSERT into STUDENT values ('Student2', 7.62, 1, 'PES2UG21BT038', 'BT', 'Student2@outlook.com', 9691717070, 0);
INSERT into STUDENT values ('Student3', 2.61, 1, 'PES1UG21BT387', 'BT', 'Student3@gmail.com', 7140567641, 0);
INSERT into STUDENT values ('Student4', 3.83, 5, 865, 'CV', 'Student4@rediffmail.com', 7319620782, 1);
INSERT into STUDENT values ('Student5', 4.82, 3, 896, 'BT', 'Student5@gmail.com', 9441410781, 1);
INSERT into STUDENT values ('Student6', 6.26, 3, 1420, 'ME', 'Student6@yahoo.com', 6250096778, NULL);
INSERT into STUDENT values ('Student7', 9.34, 5, 'PES1UG19EC182', 'ECE', 'Student7@gmail.com', 8442355045, 0);
INSERT into STUDENT values ('Student8', 4.3, 3, 'PES2UG20EE223', 'EEE', 'Student8@yahoo.com', 9409649270, 0);
INSERT into STUDENT values ('Student9', 4.04, 3, 1030, 'CSE', 'Student9@yahoo.com', 7333354405, NULL);
INSERT into STUDENT values ('Student10', 2.69, 3, 'PES2UG20ME531', 'ME', 'Student10@hotmail.com', 6783233757, 0);
INSERT into STUDENT values ('Student11', 3.84, 3, 'PES1UG20CS607', 'CSE', 'Student11@outlook.com', 9338416604, 0);
INSERT into STUDENT values ('Student12', 6.5, 3, 945, 'ECE', 'Student12@rediffmail.com', 9708216338, NULL);
INSERT into STUDENT values ('Student13', 6.38, 3, 'PES2UG20EE052', 'EEE', 'Student13@outlook.com', 9269142400, 0);
INSERT into STUDENT values ('Student14', 4.84, 7, 732, 'CSE', 'Student14@gmail.com', 6723356772, NULL);
INSERT into STUDENT values ('Student15', 1.12, 7, 'PES2UG18ME432', 'ME', 'Student15@rediffmail.com', 9245952574, 0);
INSERT into STUDENT values ('Student16', 8.65, 5, 1429, 'ECE', 'Student16@rediffmail.com', 9385031766, NULL);
